date,orgunit,orgunituid,mech_code,partner,operatingunit,psnu,hts_tst.u15.f,hts_tst.u15.m,hts_tst.o15.f,hts_tst.o15.m,hts_tst_pos.u15.f,hts_tst_pos.u15.m,hts_tst_pos.o15.f,hts_tst_pos.o15.m,tx_new.u15.f,tx_new.u15.m,tx_new.o15.f,tx_new.o15.m,vmmc_circ.u15.m,vmmc_circ.o15.m,prep_new.u15.f,prep_new.u15.m,prep_new.o15.f,prep_new.o15.m,tx_curr.u15.f,tx_curr.u15.m,tx_curr.o15.f,tx_curr.o15.m,tx_mmd.u15.f.u3mo,tx_mmd.u15.m.u3mo,tx_mmd.o15.f.u3mo,tx_mmd.o15.m.u3mo,tx_mmd.u15.f.35mo,tx_mmd.u15.m.35mo,tx_mmd.o15.f.35mo,tx_mmd.o15.m.35mo,tx_mmd.u15.f.o6mo,tx_mmd.u15.m.o6mo,tx_mmd.o15.f.o6mo,tx_mmd.o15.m.o6mo
12/7/20,Bahai Dispensary,LJWFEcg7hmT,14012,AMPATHPlus,Kenya,Bungoma County,,,11,1,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
12/14/20,Bahai Dispensary,LJWFEcg7hmT,14012,AMPATHPlus,Kenya,Bungoma County,,,4,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/21/20,Bahai Dispensary,LJWFEcg7hmT,14012,AMPATHPlus,Kenya,Bungoma County,0,0,8,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
12/28/20,Bahai Dispensary,LJWFEcg7hmT,14012,AMPATHPlus,Kenya,Bungoma County,0,0,0,0,0,0,0,0,,,,,,,,,,,4,7,100,17,4,7,63,8,0,0,36,10,0,0,0,0
12/7/20,Bituyu Dispensary,LmzDEHTbI2m,14012,AMPATHPlus,Kenya,Bungoma County,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
12/14/20,Bituyu Dispensary,LmzDEHTbI2m,14012,AMPATHPlus,Kenya,Bungoma County,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
12/21/20,Bituyu Dispensary,LmzDEHTbI2m,14012,AMPATHPlus,Kenya,Bungoma County,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
12/28/20,Bituyu Dispensary,LmzDEHTbI2m,14012,AMPATHPlus,Kenya,Bungoma County,,,0,,,,0,,,,,,,,,,,,0,0,18,2,0,0,18,2,0,0,0,0,0,0,0,0
12/7/20,Bokoli Hospital,XmjO4q9aUM9,14012,AMPATHPlus,Kenya,Bungoma County,,2,2,4,,0,1,0,,,1,,,,,,,,,,,,,,,,,,,,,,,
12/14/20,Bokoli Hospital,XmjO4q9aUM9,14012,AMPATHPlus,Kenya,Bungoma County,,,5,3,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
12/21/20,Bokoli Hospital,XmjO4q9aUM9,14012,AMPATHPlus,Kenya,Bungoma County,,,1,1,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
12/28/20,Bokoli Hospital,XmjO4q9aUM9,14012,AMPATHPlus,Kenya,Bungoma County,,,,2,,,,0,,,,,,,,,,,20,14,313,113,17,12,91,31,3,2,222,82,0,0,0,0
12/7/20,Bukembe Dispensary,KB2SvXgUyqF,14012,AMPATHPlus,Kenya,Bungoma County,,,17,5,,,2,0,,,2,,,,,,,,,,,,,,,,,,,,,,,
12/14/20,Bukembe Dispensary,KB2SvXgUyqF,14012,AMPATHPlus,Kenya,Bungoma County,,,11,2,,,2,0,,,1,1,,,,,,,,,,,,,,,,,,,,,,
12/21/20,Bukembe Dispensary,KB2SvXgUyqF,14012,AMPATHPlus,Kenya,Bungoma County,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
12/28/20,Bukembe Dispensary,KB2SvXgUyqF,14012,AMPATHPlus,Kenya,Bungoma County,,,10,,,,0,,,,,,,,,,,,14,14,320,98,14,14,51,40,0,0,245,70,0,0,0,0
12/7/20,Bulondo Dispensary,Y1zRINzIXio,14012,AMPATHPlus,Kenya,Bungoma County,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/14/20,Bulondo Dispensary,Y1zRINzIXio,14012,AMPATHPlus,Kenya,Bungoma County,,,2,3,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
12/21/20,Bulondo Dispensary,Y1zRINzIXio,14012,AMPATHPlus,Kenya,Bungoma County,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/28/20,Bulondo Dispensary,Y1zRINzIXio,14012,AMPATHPlus,Kenya,Bungoma County,,,1,1,,,0,0,,,,,,,,,,,6,3,79,24,6,3,25,16,0,0,51,8,0,0,0,0
12/7/20,Bumula Sub County Hospital,z52pEBVkfXY,14012,AMPATHPlus,Kenya,Bungoma County,1,2,2,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
12/14/20,Bumula Sub County Hospital,z52pEBVkfXY,14012,AMPATHPlus,Kenya,Bungoma County,,,,3,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,
12/28/20,Bumula Sub County Hospital,z52pEBVkfXY,14012,AMPATHPlus,Kenya,Bungoma County,1,,,,0,,,,,,,,,,,,,,17,15,274,91,17,15,112,40,0,0,162,51,0,0,0,0
12/7/20,Bungoma County Referral Hospital,UooJgpSFOqa,14012,AMPATHPlus,Kenya,Bungoma County,3,,13,10,1,,2,2,1,,2,2,,,,,,1,,,,,,,,,,,,,,,,
12/14/20,Bungoma County Referral Hospital,UooJgpSFOqa,14012,AMPATHPlus,Kenya,Bungoma County,,,9,18,,,3,4,,,4,5,,,,,1,,,,,,,,,,,,,,,,,
12/21/20,Bungoma County Referral Hospital,UooJgpSFOqa,14012,AMPATHPlus,Kenya,Bungoma County,,,4,4,,,1,0,,,1,,,,,,,,,,,,,,,,,,,,,,,
12/28/20,Bungoma County Referral Hospital,UooJgpSFOqa,14012,AMPATHPlus,Kenya,Bungoma County,,,1,3,,,0,2,,,,2,,,,,,,88,78,2163,832,41,31,375,196,42,47,1788,636,0,0,0,0
12/7/20,Chebukaka Health Centre,pG0p8FK7YmI,14012,AMPATHPlus,Kenya,Bungoma County,,,7,3,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
12/14/20,Chebukaka Health Centre,pG0p8FK7YmI,14012,AMPATHPlus,Kenya,Bungoma County,,,8,4,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
12/21/20,Chebukaka Health Centre,pG0p8FK7YmI,14012,AMPATHPlus,Kenya,Bungoma County,,,2,1,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
12/28/20,Chebukaka Health Centre,pG0p8FK7YmI,14012,AMPATHPlus,Kenya,Bungoma County,,,0,0,,,0,0,,,,,,,,,,,2,1,23,2,2,1,8,1,0,0,15,1,0,0,0,0
12/7/20,Chemwa Bridge Dispensary,SIKmfgDookA,14012,AMPATHPlus,Kenya,Bungoma County,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/14/20,Chemwa Bridge Dispensary,SIKmfgDookA,14012,AMPATHPlus,Kenya,Bungoma County,,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
12/21/20,Chemwa Bridge Dispensary,SIKmfgDookA,14012,AMPATHPlus,Kenya,Bungoma County,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/28/20,Chemwa Bridge Dispensary,SIKmfgDookA,14012,AMPATHPlus,Kenya,Bungoma County,,,0,0,,,0,0,,,,,,,,,,,1,2,29,22,1,2,8,7,0,0,21,15,0,0,0,0
12/7/20,Chepkube Dispensary,qsC49uGV0Fp,14012,AMPATHPlus,Kenya,Bungoma County,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/14/20,Chepkube Dispensary,qsC49uGV0Fp,14012,AMPATHPlus,Kenya,Bungoma County,,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
12/21/20,Chepkube Dispensary,qsC49uGV0Fp,14012,AMPATHPlus,Kenya,Bungoma County,,,0,0,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
12/28/20,Chepkube Dispensary,qsC49uGV0Fp,14012,AMPATHPlus,Kenya,Bungoma County,,,2,,,,0,,,,,,,,,,,,1,1,24,3,1,1,16,3,0,0,8,0,0,0,0,0
12/7/20,Cheptais Sub County Hospital,iZlA9MlFLr5,14012,AMPATHPlus,Kenya,Bungoma County,3,1,18,6,0,0,1,0,,,1,,,,,,,,,,,,,,,,,,,,,,,
12/14/20,Cheptais Sub County Hospital,iZlA9MlFLr5,14012,AMPATHPlus,Kenya,Bungoma County,2,,16,10,0,,1,0,,,,1,,,,,,,,,,,,,,,,,,,,,,
12/21/20,Cheptais Sub County Hospital,iZlA9MlFLr5,14012,AMPATHPlus,Kenya,Bungoma County,2,,9,9,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
12/28/20,Cheptais Sub County Hospital,iZlA9MlFLr5,14012,AMPATHPlus,Kenya,Bungoma County,1,,11,10,0,,1,1,,,1,1,,,,,,,31,25,333,188,31,25,196,111,0,0,127,72,0,0,0,0
12/28/20,Chesikaki Dispensary,KgOG8haQSYD,14012,AMPATHPlus,Kenya,Bungoma County,,,,,,,,,,,,,,,,,,,3,9,83,25,3,9,56,19,0,0,27,6,0,0,0,0
12/7/20,Chwele Sub County Hospital,Fg9M9uoYLki,14012,AMPATHPlus,Kenya,Bungoma County,3,2,5,4,0,0,1,0,,,2,,,,,,,,,,,,,,,,,,,,,,,
12/14/20,Chwele Sub County Hospital,Fg9M9uoYLki,14012,AMPATHPlus,Kenya,Bungoma County,2,,2,4,0,,1,1,,,2,,,,,,,,,,,,,,,,,,,,,,,
12/21/20,Chwele Sub County Hospital,Fg9M9uoYLki,14012,AMPATHPlus,Kenya,Bungoma County,,,1,2,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
12/28/20,Chwele Sub County Hospital,Fg9M9uoYLki,14012,AMPATHPlus,Kenya,Bungoma County,,,2,4,,,1,0,,,1,,,,,,,,31,27,503,220,31,27,133,72,0,0,330,148,0,0,0,0
12/7/20,Ekitale Dispensary,tu4s1UAwayi,14012,AMPATHPlus,Kenya,Bungoma County,,,2,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,
12/14/20,Ekitale Dispensary,tu4s1UAwayi,14012,AMPATHPlus,Kenya,Bungoma County,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/21/20,Ekitale Dispensary,tu4s1UAwayi,14012,AMPATHPlus,Kenya,Bungoma County,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
