index,date,orgunit,orgunituid,mech_code,partner,operatingunit,psnu,hts_tst.u15.f,hts_tst.u15.m,hts_tst.o15.f,hts_tst.o15.m,hts_tst_pos.u15.f,hts_tst_pos.u15.m,hts_tst_pos.o15.f,hts_tst_pos.o15.m,tx_new.u15.f,tx_new.u15.m,tx_new.o15.f,tx_new.o15.m,vmmc_circ.u15.m,vmmc_circ.o15.m,prep_new.u15.f,prep_new.u15.m,prep_new.o15.f,prep_new.o15.m,tx_curr.u15.f,tx_curr.u15.m,tx_curr.o15.f,tx_curr.o15.m,tx_mmd.u15.f.u3mo,tx_mmd.u15.m.u3mo,tx_mmd.o15.f.u3mo,tx_mmd.o15.m.u3mo,tx_mmd.u15.f.35mo,tx_mmd.u15.m.35mo,tx_mmd.o15.f.35mo,tx_mmd.o15.m.35mo,tx_mmd.u15.f.o6mo,tx_mmd.u15.m.o6mo,tx_mmd.o15.f.o6mo,tx_mmd.o15.m.o6mo
1,2/1/2021,(Mkuyuni) David Kariuki Medical Centre,tmykRkKiWjH,17719,APHIAPlus Pwani,Kenya,Kilifi,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2/1/2021,AAR Clinic Sarit Centre (Westlands),oqlLExzVDK1,17718,Interchurch Medical Assistance. Inc,Kenya,Nairobi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2/1/2021,AAR Gwh Health Care Ltd,jHTAFl3Gyj9,17718,Interchurch Medical Assistance. Inc,Kenya,Nairobi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2/1/2021,Aboloi Dispensary,VmemRezEHJf,14012,AMPATHPlus,Kenya,Busia County,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2/1/2021,Acef Ena Health Centre,VUv3MNGbLMe,17718,Interchurch Medical Assistance. Inc,Kenya,Embu,1,1,6,1,0,0,1,1,0,0,1,1,,,0,0,1,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0
6,2/1/2021,Adu Dispensary,yGyvw1GcZLR,17719,APHIAPlus Pwani,Kenya,Kilifi,,,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2/1/2021,Adventist Centre For Care and Support (Westlands),vgErg8mCZTj,17718,Interchurch Medical Assistance. Inc,Kenya,Nairobi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2/1/2021,Afraha Maternity and Nursing Home,iiouXbdQUd4,18495,Afya Nyota Ya Bonde,Kenya,Nakuru,0,0,2,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2/1/2021,Afwani Medical Centre,rnxhdEg940w,17718,Interchurch Medical Assistance. Inc,Kenya,Nairobi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2/1/2021,Ageng'a Dispensary (Samia),FXx0gjbN8Gh,14012,AMPATHPlus,Kenya,Busia County,0,0,3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
