index,date,orgunit,orgunituid,mech_code,partner,operatingunit,psnu,hts_tst.u15.f,hts_tst.u15.m,hts_tst.o15.f,hts_tst.o15.m,hts_tst_pos.u15.f,hts_tst_pos.u15.m,hts_tst_pos.o15.f,hts_tst_pos.o15.m,tx_new.u15.f,tx_new.u15.m,tx_new.o15.f,tx_new.o15.m,vmmc_circ.u15.m,vmmc_circ.o15.m,prep_new.u15.f,prep_new.u15.m,prep_new.o15.f,prep_new.o15.m,tx_curr.u15.f,tx_curr.u15.m,tx_curr.o15.f,tx_curr.o15.m,tx_mmd.u15.f.u3mo,tx_mmd.u15.m.u3mo,tx_mmd.o15.f.u3mo,tx_mmd.o15.m.u3mo,tx_mmd.u15.f.35mo,tx_mmd.u15.m.35mo,tx_mmd.o15.f.35mo,tx_mmd.o15.m.35mo,tx_mmd.u15.f.o6mo,tx_mmd.u15.m.o6mo,tx_mmd.o15.f.o6mo,tx_mmd.o15.m.o6mo
1,16-Nov-20,(Mkuyuni) David Kariuki Medical Centre,tmykRkKiWjH,17719,APHIAPlus Pwani,Kenya,Kilifi,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,16-Nov-20,AAR Clinic Sarit Centre (Westlands),oqlLExzVDK1,17718,Interchurch Medical Assistance. Inc,Kenya,Nairobi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,16-Nov-20,AAR Gwh Health Care Ltd,jHTAFl3Gyj9,17718,Interchurch Medical Assistance. Inc,Kenya,Nairobi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,16-Nov-20,AAR Nyali Health Care,Ev2Viaztz2a,17719,APHIAPlus Pwani,Kenya,Mombasa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,16-Nov-20,Aboloi Dispensary,VmemRezEHJf,14012,AMPATHPlus,Kenya,Busia County,,,5,5,,,1,0,,,1,,,,,,,,,,,,,,,,,,,,,,,
6,16-Nov-20,Acef Ena Health Centre,VUv3MNGbLMe,17718,Interchurch Medical Assistance. Inc,Kenya,Embu,0,0,9,4,0,0,0,0,0,0,0,0,,,0,0,0,0,,,,,,,,,,,,,,,,
7,16-Nov-20,Acode Medical Clinic Maungu,ePibTmbhH7b,17719,APHIAPlus Pwani,Kenya,Taita Taveta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,16-Nov-20,Adu Dispensary,yGyvw1GcZLR,17719,APHIAPlus Pwani,Kenya,Kilifi,1,0,26,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,16-Nov-20,Adventist Centre For Care and Support (Westlands),vgErg8mCZTj,17718,Interchurch Medical Assistance. Inc,Kenya,Nairobi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,16-Nov-20,Afraha Maternity and Nursing Home,iiouXbdQUd4,18495,Afya Nyota Ya Bonde,Kenya,Nakuru,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,16-Nov-20,Afwani Medical Centre,rnxhdEg940w,17718,Interchurch Medical Assistance. Inc,Kenya,Nairobi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,16-Nov-20,Ageng'a Dispensary (Samia),FXx0gjbN8Gh,14012,AMPATHPlus,Kenya,Busia County,0,0,8,5,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,,,,,
13,16-Nov-20,Agha Khan Hospital,y5vFQamRzsh,17718,Interchurch Medical Assistance. Inc,Kenya,Nairobi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,16-Nov-20,Ahmadiya Hospital,zK5jhRlWfuF,14012,AMPATHPlus,Kenya,Kakamega County,,,16,5,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
15,16-Nov-20,AIC Biribiriet Dispensary,gyY8uDEGB4j,14012,AMPATHPlus,Kenya,Trans-Nzoia County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,,,,,
16,16-Nov-20,AIC Malanga,Yjece7dQOix,17719,APHIAPlus Pwani,Kenya,Kilifi,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,16-Nov-20,Ainabkoi (RCEA) Health Centre,puC1BTI46Yu,14012,AMPATHPlus,Kenya,Uasin Gishu County,,,5,7,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
18,16-Nov-20,Airport Dispensary (Kisumu),UBIvrvRnKrO,18494,Afya Ziwani,Kenya,Kisumu County,0,0,12,17,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,16-Nov-20,Akachiu Health Centre,YGtY9QtkwrW,17718,Interchurch Medical Assistance. Inc,Kenya,Meru,0,0,7,5,0,0,1,1,0,0,1,1,,,0,0,0,0,,,,,,,,,,,,,,,,
20,16-Nov-20,Akemo Medical Clinic,aNtThTaTYQp,17719,APHIAPlus Pwani,Kenya,Mombasa,0,0,21,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,16-Nov-20,Akichelesit Dispensary,jENzK3UPZdA,14012,AMPATHPlus,Kenya,Busia County,,,13,1,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
22,16-Nov-20,Al-Firdaus Health Care,YWRNMV8zs7l,17719,APHIAPlus Pwani,Kenya,Mombasa,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
