date,orgunit,orgunituid,mech_code,partner,operatingunit,psnu,hts_tst.u15.f,hts_tst.u15.m,hts_tst.o15.f,hts_tst.o15.m,hts_tst_pos.u15.f,hts_tst_pos.u15.m,hts_tst_pos.o15.f,hts_tst_pos.o15.m,tx_new.u15.f,tx_new.u15.m,tx_new.o15.f,tx_new.o15.m,vmmc_circ.u15.m,vmmc_circ.o15.m,prep_new.u15.f,prep_new.u15.m,prep_new.o15.f,prep_new.o15.m,tx_curr.u15.f,tx_curr.u15.m,tx_curr.o15.f,tx_curr.o15.m,tx_mmd.u15.f.u3mo,tx_mmd.u15.m.u3mo,tx_mmd.o15.f.u3mo,tx_mmd.o15.m.u3mo,tx_mmd.u15.f.35mo,tx_mmd.u15.m.35mo,tx_mmd.o15.f.35mo,tx_mmd.o15.m.35mo,tx_mmd.u15.f.o6mo,tx_mmd.u15.m.o6mo,tx_mmd.o15.f.o6mo,tx_mmd.o15.m.o6mo
11/2/2020,Afraha Maternity and Nursing Home,iiouXbdQUd4,18495,Afya Nyota Ya Bonde,Kenya,Nakuru,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/2/2020,Ajam Mission Health Centre,KuftRocWEh1,18495,Afya Nyota Ya Bonde,Kenya,Kajiado,0,0,187,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/2/2020,Algadir Medical Clinic,KjxuN3y2zLL,18495,Afya Nyota Ya Bonde,Kenya,Nakuru,0,1,17,18,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/2/2020,Amboseli Dispensary,W4iGC7KmjjQ,18495,Afya Nyota Ya Bonde,Kenya,Kajiado,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/2/2020,Annex Hospital (Nakuru),HB8bMpxgcD7,18495,Afya Nyota Ya Bonde,Kenya,Nakuru,0,0,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/2/2020,Archers Post Health Centre,LPm2vlZmCFh,18495,Afya Nyota Ya Bonde,Kenya,Samburu,0,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/2/2020,ASN Upendo Village Dispensary,ldQsaXHm9nH,18495,Afya Nyota Ya Bonde,Kenya,Nakuru,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/2/2020,Bahati Dispensary,Goa2gnvQpcf,18495,Afya Nyota Ya Bonde,Kenya,Nakuru,0,1,13,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/2/2020,Bahati District Hospital,WuLKOs2F6k2,18495,Afya Nyota Ya Bonde,Kenya,Nakuru,2,1,24,19,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/2/2020,Baragoi Sub-District Hospital,DU2xmzRy1XM,18495,Afya Nyota Ya Bonde,Kenya,Samburu,3,4,23,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/2/2020,Barsaloi GK Dispensary,qAyhce3x6Hq,18495,Afya Nyota Ya Bonde,Kenya,Samburu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/2/2020,Barwessa HealthCentre,gtUQIME9Wtc,18495,Afya Nyota Ya Bonde,Kenya,Baringo,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/2/2020,Beacon of Hope Clinic (Kajiado),o7MMvSioNJn,18495,Afya Nyota Ya Bonde,Kenya,Kajiado,0,1,23,26,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/2/2020,Benmac Clinic,GVJXZMApfV3,18495,Afya Nyota Ya Bonde,Kenya,Nakuru,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/2/2020,Bethsaida (AIC) Clinic (Nakuru),GFH7xCIC68Q,18495,Afya Nyota Ya Bonde,Kenya,Nakuru,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/2/2020,Bisil Health Centre,QZwDp4lHXWp,18495,Afya Nyota Ya Bonde,Kenya,Kajiado,9,2,68,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/2/2020,Bondeni Dispensary (Nakuru Central),n0JAr0wDyz1,18495,Afya Nyota Ya Bonde,Kenya,Nakuru,4,1,22,9,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
